expense_tags,big_category,count
"socialmedia,hourly,october17th",,1
"sprint-2024,travel,accommodation",,1
"sundance,techtimeline,apeople'shistoryoftech",,1
"survey,research,ux",,1
"technology,photographyandmedia,theleadthewayyouthsummit",,1
"tepi,approved,conversionerrorcobudget",,1
"tepi,excessrequest!,approved",,1
"testing,server,client",,1
"testing,server,ui",,1
"thebeyondhub,meeting,travel",,1
"theleadthewayyouthsummit,photographyandmedia,technology",,1
"theleadthewayyouthsummit,technology,venue",,1
"travel,conference,registrationfee",,1
"ugm,ugm_transportation,airfare",,1
256,,1
255,,1
"ui,client,engine",,1
"vpn,ctf,cyber",,1
"waitingforreply,festifluff,luciano",,1
"waitingforreply,robin,astrid",,1
"waitingforreply,waitingforcorrectinvoice,astridbutopentoanyone",,1
"wﾄ］anga,education,kai",,1
"webservices,workflow,merch",,1
"webdevelopment,domainname,cloudflare",,1
254,,1
"indiesky,atproto,migration,pds,explainer,atd-6fc",,1
"maintain,improve,public-apis,expense,service,pawelborkar",,1
12372-38125,,1
"x-gc-approved,x-gc-scheduled-20251001,x-gc-batched-20251002",,1
08/2023,,1
"maintain,improve,public-apis,expense,service,yannbertrand",,1
05/2023,,1
"loan,local,smallbusiness,queer,disabled,survivors,startup,network,collective,art,diy,handmade,t4t",,1
"antennas,twistport,mikrotik,rf-elements",,1
"astrid,fishingponddream,approved,lovisa",,1
"astrid,waitingforreply,waitingforadditionalreceipts,waitingforcorrectinvoice",,1
"ce-reimbursement,githubcampusexpert,food,logistics",,1
"ce-reimbursement,travel,food,uberexpenses",,1
"ce-sponsorship,githubcampusexpert,food,ce-reimbursement",,1
"ce-sponsorship,travel,food,uberexpenses",,1
"client,server,engine,networking",,1
internshipsummer2022,,1
intrastucture,,1
internal,,1
jan,,1
"client,testing,ui,webxr-native",,1
juliacon_global_2025,,1
june,,1
kf,,1
kitchen,,1
insurance,,1
l1support,,1
leadthewayyouthsummit,,1
indiesky,,1
leagle,,1
legalfees,,1
licensefee,,1
incf,,1
imanij,,1
localorganising,,1
localteamfundrequest,,1
lodging,,1
ide,,1
lunch,,1
m1,,1
mac,,1
hr,,1
maintanance,,1
hosting+services,,1
hostingcosts,,1
managedfunds,,1
homebrew-hub,,1
marcus,,1
materials,,1
materiales,,1
matplotlib,,1
"communications,webservices,marketing,operationalcosts",,1
mdf,,1
"communitymatchingfund,x-gc-approved,x-gc-scheduled-20251008,x-gc-batched-20251009",,1
he,,1
meetup,,1
hasreciept,,1
menage,,1
mentor,,1
hackathon,,1
mentorship-program,,1
merchandise,,1
gsod,,1
"communitysupport,x-gc-approved,x-gc-scheduled-20251112,x-gc-batched-20251113",,1
miduconf,,1
"conflictresilience,conflictresilienceresources,graphicdesign,art",,1
mistake,,1
mojaglobal,,1
"craftyvibes,rangatahi,venue,supplies",,1
nbw,,1
newsletter,,1
googleseasonofdocs,,1
nova,,1
google-workspaces,,1
numfocussdg,,1
nut-ci-farm,,1
go,,1
github-contribution,,1
"engine,client,testing,ui",,1
"engineering,communications,admin,projectmanagement",,1
"equipment,memorysavers,library,museum",,1
generalexpenses,,1
openquake,,1
openquake-engine,,1
operationexpense,,1
gcp,,1
gbcompo23,,1
orangeblossom,,1
gathering,,1
organisation,,1
parking,,1
pebble,,1
fosscontributorfund,,1
phaseone,,1
plugins,,1
fonttools,,1
porto,,1
"flight,hotel,ugm_bursary_lodging,ugm_bursary_transportation",,1
prready,,1
print,,1
priority,,1
prizes,,1
produktionskostnader,,1
professionaldevelopment,,1
01/2024,,1
flights,,1
prototyping,,1
public-utility-data-liberation,,1
"generalexpenses,loans,payments,square",,1
feb,,1
q42021,,1
r-universe,,1
"generalexpenses,supplies,officework,stationary",,1
radar/eventfund,,1
radio,,1
rangatahi,,1
reactstarterkit,,1
feature-bounty,,1
fadeinthewater,,1
refund,,1
registrationfee,,1
release,,1
rentals,,1
eventbrite,,1
"hallofthetantrictrolls,astrid,lovisa,done",,1
reviews,,1
euroscipy25,,1
engagement,,1
runtimes,,1
ended,,1
effort,,1
education,,1
scholarship,,1
donations&sponsorships,,1
scouts,,1
